Country_New,"Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, secondary, both sexes (%)","Gross enrolment ratio, tertiary, both sexes (%)",Gini index (World Bank estimate),Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),2015-2010 change survival between 30-70,2015-2010 change adolescent birth rate,2015-2010 change basic sanitation,2015-2010 change clean fuels,classification
Afghanistan,6.356155395507983,2.397579193115206,0.0,0.0,0.0,0.0,0.0,-1.8999999999999986,0.0,6.530000000000001,9.0,1
Albania,14.686485290527003,7.35385131835929,13.569301605224602,0.0,0.0,0.0,0.0,-1.2000000000000028,0.8000000000000007,2.1200000000000045,9.0,2
Algeria,0.6998291015620026,0.0,7.087718963623107,0.0,0.0,0.0,0.0,-1.0,-0.5,0.9399999999999977,0.0,1
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3000000000000003,0.0,0.0,1
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2000000000000028,0.0,6.309999999999995,1.0,1
Antigua and Barbuda,-6.356117248535398,-3.5012588500970026,0.0,0.0,0.0,0.0,0.0,1.0,-3.6999999999999957,1.1700000000000017,0.0,1
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6999999999999993,-3.1000000000000085,1.6099999999999994,0.0,1
Armenia,0.0,0.0,-6.334796905517507,2.3999999999999986,0.30000000000000004,-4.6,-15.200000000000003,-2.8999999999999986,-2.8000000000000007,2.1000000000000085,0.0,1
Aruba,0.0,0.0,-22.0839204788208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Australia,-3.4962692260739914,0.0,0.0,0.0,0.0,0.0,0.0,-0.6999999999999993,-4.799999999999999,0.0,0.0,1
Austria,3.1314849853512925,1.1596450805662073,12.808334350585909,0.1999999999999993,0.19999999999999996,0.09999999999999998,0.09999999999999998,-0.6999999999999993,-2.5999999999999996,-0.009999999999990905,0.0,2
Azerbaijan,12.839187622070568,0.0,6.223159790039098,0.0,0.0,0.0,0.0,-2.3000000000000007,-7.600000000000001,9.909999999999997,2.0,2
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.299999999999999,0.0,2.0900000000000034,0.0,1
Bahrain,0.0,9.270935058594091,0.0,0.0,0.0,0.0,0.0,-2.1000000000000014,0.7999999999999989,0.010000000000005116,0.0,1
Bangladesh,17.77677154541,13.4051094055176,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,6.539999999999999,6.0,1
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6999999999999993,0.0,2.510000000000005,0.0,1
Belarus,-2.1082916259760083,0.06155395507801131,8.519729614257798,-3.0,0.0,-0.2,-2.7,-6.5,-2.599999999999998,2.3500000000000085,0.0,2
Belgium,0.9273376464839913,61.02259063720797,7.325904846191406,-0.6999999999999993,0.0,0.0,-0.2,-1.200000000000001,-3.0,0.0,0.0,0
Belize,0.5880126953129974,5.4324264526367045,1.417009353637603,0.0,0.0,0.0,0.0,-0.8000000000000007,2.299999999999997,1.5799999999999983,0.0,1
Benin,12.694572448731009,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000000000142,0.0,2.620000000000001,0.0,1
Bermuda,-1.9353103637695028,-7.181747436523494,-5.516031265258803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4000000000000021,0.0,5.390000000000008,10.0,1
Bolivia,-7.569572448730085,3.2708511352539062,0.0,0.0,0.0,0.0,0.0,-1.4000000000000021,0.0,9.11,5.0,1
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6999999999999993,-3.0,0.09000000000000341,1.0,1
Botswana,0.0,0.0,8.359390258789002,0.0,0.0,0.0,0.0,-1.5,0.0,7.920000000000002,-1.0,1
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-0.5,4.429999999999993,1.0,1
British Virgin Islands,0.0,-2.868843078612798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Brunei Darussalam,1.006965637207017,-3.1648559570312926,15.189970016479501,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,0.0,0.0,2
Bulgaria,-6.4149932861328125,8.591697692871094,15.9231948852539,2.8999999999999986,1.4,1.5999999999999996,1.0,-1.3000000000000007,-2.6000000000000014,0.04999999999999716,0.0,2
Burkina Faso,10.162277221679702,11.764459609985398,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,1.8499999999999979,2.0,1
Burundi,-7.675163269042997,19.655757904052702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04999999999999716,0.0,1
Cabo Verde,-1.7947006225589917,6.42646026611331,4.4022617340088,0.0,0.0,0.0,0.0,-0.9000000000000021,0.0,9.530000000000001,5.0,1
Cambodia,-6.732749938965,0.0,-0.9723606109619993,0.0,0.0,0.0,0.0,-0.8999999999999986,0.0,15.57,5.0,1
Cameroon,10.941329956055,0.0,6.439659118652298,0.0,0.0,0.0,0.0,0.0,0.0,-0.1700000000000017,3.0,1
Canada,0.0,0.0,0.0,0.10000000000000142,0.0,0.3,0.19999999999999996,-1.0999999999999996,-4.1,-0.20000000000000284,0.0,1
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1999999999999993,0.0,2.1099999999999994,0.0,1
Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,-1.5299999999999994,0.0,1
